Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2013,2778046494,2406841966,0.2023,65225531,318671909,23977,73809297,227715628,1222643914,328776,4626479,97572,30310905,16071,17788925,389,1277905,204,3168960,31627,349838,19309,1807882,10676,130511322,208519621,35873449,1939474,316842,10259191,2146532
2013-Q4,37288477,603895981,,18198747,88351349,6400,22536973,39085196,203479798,64816,679281,18914,17130812,2926,3151492,97,732785,,1995475,7929,86466,7129,419868,2923,27092058,42043098,6689047,320987,159823,8009006,491506
2013-Q3,32420917,600203026,,17598643,87526790,5391,23833127,37456791,204149810,65640,748325,19726,2262085,4718,1006833,97,131076,,228552,3326,103904,5157,378537,2758,26131470,44432170,7229196,387058,50096,1216518,484948
2013-Q2,33890601,602450509,,15902734,76988730,4681,28662467,39602203,199071595,65262,780839,19932,2613483,2853,1006833,97,144985,88,244427,3462,66451,3933,431959,2431,31738402,36890299,5843939,373016,41635,1237194,494856
2013-Q1,47768578,600292450,,13532286,65813863,3868,27068402,39076435,197781066,65451,723768,22613,2469322,2324,1006833,97,148296,116,253206,3619,64258,3102,404423,2343,28848680,46414080,7663370,428829,38192,1183446,468688
2012,1877301860,2320094042,0.1977,50222950,256648425,24178,20234514,238431392,1318465918,336136,3675032,125848,33820278,5591,23929781,20,320932,1603,2481544,44297,713836,19875,1629210,9183,12861721,198414518,38055465,670011,319949,23929781,1560333
2012-Q4,28639934,592599131,,13786388,70621275,4523,12976439,39800963,202690914,62296,1121604,36576,10799893,1501,9253641,15,50335,454,1269140,15911,348936,9940,502505,2303,1621050,36535588,6974049,109340,160471,12467647,466813
2012-Q3,31927745,583167300,,12560492,63936467,4590,17034920,40234097,192865424,61951,648376,20519,3770407,866,620761,,53162,457,275780,4667,129115,3972,342941,1979,4193188,45108053,8577643,103896,53818,1660523,343755
2012-Q2,32008176,578010876,,11186453,57916257,4217,16854860,39951339,210054510,63273,780735,24603,4384776,1714,623000,5,64382,414,140907,4366,123007,3314,326011,2385,6345950,40692272,7750581,103896,48323,1801309,299348
2012-Q1,78265973,566316737,,12689617,64167974,4660,16589279,40260178,211687774,65896,506093,26308,8646276,1158,623229,,67920,278,162311,3799,96572,2696,323997,2469,6605384,44725105,8481301,103896,39090,1548189,310417
2011,415549780,2297780517,,52260977,147228590,13643,40468079,136510013,546851364,149210,2266266,62220,46366086,3751,2091608,5,199350,701,1494720,27348,523735,19326,1170819,25386,19266915,88418682,10211092,1383404,311598,18820153,10307901
2011-Q4,99423567,567601963,,12441775,34752861,3781,10955797,33376110,136783700,35764,497091,12096,4933805,901,1840,,73626,134,591495,8656,204596,4476,332751,17882,3526262,27236429,5013114,139160,22288,629428,583671
2011-Q3,88414938,569219640,,13352917,37198419,3313,9604495,34656041,139264976,37578,358054,11776,4076882,579,3192,,53883,179,260397,6072,102382,5779,236529,2372,5909010,4409841,780686,136562,22288,458608,386465
2011-Q2,112205442,578967441,,12930561,36875728,3416,7195134,33737803,134190425,37224,864245,26435,4498611,1247,1615,,43138,208,287892,9890,151933,5272,276294,2644,5190753,6451414,1132455,137866,22288,962210,458593
2011-Q1,115505833,586852390,,13535725,38401582,3133,9612813,34740059,136612263,38644,281297,11913,3796709,1024,1368117,5,2154,,97597,2730,20316,3799,259554,2488,4640889,5917748,1103787,138563,22288,4671052,328611
2010,449174036,2313098936,,51684524,144972717,21210,38757239,140517000,539049875,152860,2197075,58387,42214914,5589,5694861,3045,,,644607,15906,352426,18452,1198696,,23019355,33699127,1874782,318068,,18857760,4283327
2010-Q4,70701759,572998696,,19978486,68387966,5976,8381174,33097137,128937490,35246,288583,10614,3635126,1275,1313314,,,,133487,2770,80021,3844,361132,,744917,836595,182378,2022,,4484019,414880
