Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2012,124900728,148056993,0.2173,3794313,17461173,1717,6910135,15378630,,15364,279368,5749,1311776,803,378845,0,56494,519,254818,2633,36135,114,60938,64,4243874,10688838,0,48471,378845,66396
2012-Q4,28639934,46292933,,1093575,5514317,540,550329,3477204,18124916,3796,90494,1797,310071,180,135401,0,14547,165,94009,396,31693,42,13679,64,-924778,3422260,0,16621,193516,14695
2012-Q3,31927745,36861102,0.2194,722640,3327871,355,2594539,3700975,16915442,3718,63281,1324,388994,50,0,0,12161,116,96142,751,3714,26,14491,0,1072210,2792719,0,10823,63071,18205
2012-Q2,32008176,31704678,0.2340,826600,3531964,359,1880872,3949564,16951644,3872,53281,1541,415014,515,0,0,14073,122,39361,994,525,31,14691,0,2451960,2826968,0,10996,51674,15216
2012-Q1,32324873,33198280,0.2264,1151498,5086789,463,1884395,4250887,18778471,3978,72312,1087,197697,58,0,0,15713,116,25306,492,203,15,18077,0,1644482,1646891,0,10031,70584,18280
2011,124067909,140243911,0.2290,6101712,26647662,3689,7664383,21501275,74563314,16023,219170,5597,1303582,1812,0,0,53618,347,161633,2238,38886,84,88492,0,5802402,8742887,10055,42229,225383,127378
2011-Q4,25952820,35060978,0.1873,1508327,6750107,1504,1602020,4978779,17374157,3586,80677,1149,391091,411,0,0,10189,134,30837,697,30756,37,23295,0,1301185,519173,3743,0,87890,54051
2011-Q3,32135665,35060978,0.2280,1746641,7641467,684,1934672,5539298,19429124,4178,37698,1043,356423,99,0,0,8458,105,33591,494,7710,30,20845,0,2290677,298369,1045,0,37698,28555
2011-Q2,32577046,35060978,0.2309,1509205,6530518,817,1395443,5161562,17575223,4016,42536,1440,429534,684,0,0,34971,108,75475,577,387,15,21539,0,1467652,572722,2361,0,42536,21926
2011-Q1,33402378,35060978,0.2336,1337539,5725570,684,2732248,5821636,20184810,4243,58259,1965,126534,618,0,0,0,0,21730,470,33,2,22813,0,742888,611858,2906,0,57259,22846
2010,131115383,156385960,0.2180,5057265,23197724,4141,7281621,20958692,75839199,19599,172945,5296,1195989,3566,0,0,0,0,245198,1886,63665,30,113390,0,2979667,3346379,5083,0,189212,177055
2010-Q4,30914059,39096490,0.2118,2087320,9701433,1027,837464,4820621,17551073,3509,41202,1514,302766,688,0,0,0,0,75181,565,5113,0,27784,0,,,1590,0,57469,32897
2010-Q3,33823004,39096490,0.2152,1076330,4990762,891,3006194,5568877,20747313,3676,44821,953,293807,797,0,0,0,0,108514,453,46658,20,24794,0,,,1709,0,44821,71452
2010-Q2,33442438,39096490,0.2165,1115819,5111798,1318,1607138,5301207,19382269,6720,50266,1436,329876,1204,0,0,0,0,29491,563,162,10,30655,0,,,943,0,50266,30817
2010-Q1,32935882,39096490,0.2292,777796,3393731,905,1830825,5267987,18158544,5694,36656,1393,269540,877,0,0,0,0,32012,305,11732,0,30157,0,,,841,0,36656,41889
2009,,165234681,,4601304,,4546,6677729,23200890,,24294,261595,4821,1064511,1565,0,0,0,0,71279,3369,42750,28,88150,51,7622798,4672141,6391,0,264288,105876
2009-Q4,,41308670,,126260,,1129,3489269,7214975,,6395,63125,2366,950001,450,0,0,0,0,16918,1478,0,0,20607,1,,,2436,0,71970,20607
2009-Q3,,41308670,,1319797,,1088,1514464,5881295,,6067,79210,977,17766,361,0,0,0,0,15833,208,17268,17,18133,0,,,1741,0,79210,35401
2009-Q2,37995961,41308670,0.2660,1586328,5963614,927,665060,5355052,,6026,68832,667,87295,497,0,0,0,0,16808,184,322,9,25481,25,,,992,0,66541,25803
2009-Q1,,41308670,,1568918,,1402,1008936,4749568,,5806,50428,811,9449,257,0,0,0,0,21720,1499,25160,2,23929,25,,,1222,0,46567,24065
2008,,149754361,,4994875,,4506,10997762,23809428,,24949,249413,10864,348927,1254,0,0,0,0,142292,7601,150,4347,354004,0,,,16579,0,259027,354154
2008-Q4,,37438590,,1507858,,2103,6221680,7614547,,6225,60361,2296,101842,143,0,0,0,0,30988,1656,0,58,62219,0,,,2135,0,69975,62219
2008-Q3,,37438590,,1214890,,1416,589497,5484088,,6235,73253,2884,72060,141,0,0,0,0,35038,1897,0,1427,95975,0,,,2448,0,73253,95975
2008-Q2,,37438590,,1198810,,682,1734974,4995849,,7920,69171,2787,122043,131,0,0,0,0,38809,1945,0,1586,99230,0,,,2869,0,69171,99230
2008-Q1,,37438590,,1073317,,305,2451611,5714944,,4569,46628,2897,52982,839,0,0,0,0,37457,2103,150,1276,96580,0,,,9127,0,46628,96730
